Alair Corrêa,PP,11200,RJ
MM,PMDB,15500,RJ
Fernando Holiday,DEM,25000,SP
Alana Passos,PSL,17120,RJ
Abraão Da Melgil,PODE,19770,RJ
Adelson Guedes,PT,13011,RJ
Carlos Waldomiro,PPL,54217,RJ
Carol Barbosa,PHS,31902,RJ
Claudia Cottas,PSC,20100,RJ
David Marques,PSDB,45458,RJ
Abigail,PRP,44003,SP
Adilson Da Copa,PHS,31034,SP
Adriana Azevedo,PC DO B,65340,SP
Claudio Vitorino Kadu,AVANTE,70657,SP
Dr Julio Casarin,PSL,17059,SP
Dr Almir Alexandres,PATRI,51600,SP
Caio Takeda,PSL,17077,SP
Cal,PHS,31555,SP
Francisco Severiano,PRTB,28353,SP
Georges Habib,SOLIDARIEDADE,77147,SP
Geraldo Cruz,PT,13147,SP
Frederico D Avila,PSL,17111,ES
Gabriel Cassiano,PDT,12000,ES
Garcia,PTC,36669,ES
Geraldo Da Bombonieri,PODE,19556,ES
Luciano Batista,PR,22400,ES
Luiz Dapaz,AVANTE,70956,ES
Magela,PCDOB,65340,MG
Major Edson Miguel,PSL,17581,MG
Michelline Tavares,PATRI,51345,MG
Milton Lopes,PMN,33001,MG
Miriam Das Flores,PCDOB,65161,MG
